arrest_id_univ,person_id,filing_date_univ,age_at_arrest,sex,race,arrest_id_event,filing_date_event,charge_degree,offense_category,y,current_charge_felony,num_fel_arrests_last_year
3076203,9044,2018-09-04,21.186301369863013,M,Black,11977411,2017-10-16,felony,drug,0,1,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,5270593,2017-08-30,felony,drug,0,1,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,6544629,2016-10-12,felony,violent,0,1,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,7768535,2015-11-11,felony,drug,0,1,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,6681939,2016-08-31,felony,violent,0,1,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,5960883,2017-03-28,misdemeanor,drug,0,0,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,4551329,2018-01-05,misdemeanor,other,0,0,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,1487532,2019-06-07,misdemeanor,other,0,0,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,4112326,2020-08-11,misdemeanor,property,0,0,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,5206437,2017-09-11,misdemeanor,other,0,0,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,3076203,2018-09-04,misdemeanor,other,0,0,4
4983747,9102,2017-10-19,24.898630136986306,M,Black,4983747,2017-10-19,felony,property,1,1,1
4983747,9102,2017-10-19,24.898630136986306,M,Black,6472964,2016-11-02,felony,violent,1,1,1
4983747,9102,2017-10-19,24.898630136986306,M,Black,6869028,2016-07-07,misdemeanor,violent,1,0,1
4983747,9102,2017-10-19,24.898630136986306,M,Black,4608599,2017-12-21,felony,property,1,1,1
4983747,9102,2017-10-19,24.898630136986306,M,Black,9953882,2020-11-04,felony,violent,1,1,1
4983747,9102,2017-10-19,24.898630136986306,M,Black,11366874,2012-07-19,felony,property,1,1,1
4983747,9102,2017-10-19,24.898630136986306,M,Black,7812370,2015-10-28,felony,other,1,1,1
4983747,9102,2017-10-19,24.898630136986306,M,Black,7368827,2016-03-09,misdemeanor,violent,1,0,1
4983747,9102,2017-10-19,24.898630136986306,M,Black,6564700,2016-10-05,felony,violent,1,1,1
4983747,9102,2017-10-19,24.898630136986306,M,Black,4560594,2018-01-03,felony,violent,1,1,1
4983747,9102,2017-10-19,24.898630136986306,M,Black,11203184,2012-09-14,felony,property,1,1,1
3126179,9523,2018-08-26,27.695890410958903,M,Black,10006177,2013-11-14,felony,drug,0,1,0
3126179,9523,2018-08-26,27.695890410958903,M,Black,10386581,2013-07-03,misdemeanor,violent,0,0,0
3126179,9523,2018-08-26,27.695890410958903,M,Black,11271721,2012-08-22,misdemeanor,drug,0,0,0
3126179,9523,2018-08-26,27.695890410958903,M,Black,11406557,2012-07-06,misdemeanor,violent,0,0,0
3126179,9523,2018-08-26,27.695890410958903,M,Black,10615537,2013-04-16,misdemeanor,violent,0,0,0
3126179,9523,2018-08-26,27.695890410958903,M,Black,10468260,2013-06-05,felony,property,0,1,0
3126179,9523,2018-08-26,27.695890410958903,M,Black,10068764,2013-10-23,felony,drug,0,1,0
3126179,9523,2018-08-26,27.695890410958903,M,Black,3126179,2018-08-26,felony,violent,0,1,0
3126179,9523,2018-08-26,27.695890410958903,M,Black,11406556,2012-07-06,misdemeanor,drug,0,0,0
7398258,10066,2016-03-01,45.61917808219178,M,Black,9195596,2014-08-01,felony,drug,0,1,0
7398258,10066,2016-03-01,45.61917808219178,M,Black,10401577,2013-06-28,misdemeanor,other,0,0,0
7398258,10066,2016-03-01,45.61917808219178,M,Black,7398258,2016-03-01,misdemeanor,drug,0,0,0
7398258,10066,2016-03-01,45.61917808219178,M,Black,9137076,2014-08-21,felony,drug,0,1,0
5792197,10071,2017-05-09,21.95890410958904,M,Black,1693237,2020-05-14,felony,other,0,1,0
5792197,10071,2017-05-09,21.95890410958904,M,Black,7654513,2015-12-14,felony,violent,0,1,0
5792197,10071,2017-05-09,21.95890410958904,M,Black,6789611,2016-08-01,misdemeanor,violent,0,0,0
5792197,10071,2017-05-09,21.95890410958904,M,Black,2723235,2018-11-08,misdemeanor,violent,0,0,0
5792197,10071,2017-05-09,21.95890410958904,M,Black,9458376,2014-05-14,misdemeanor,drug,0,0,0
5792197,10071,2017-05-09,21.95890410958904,M,Black,9480472,2014-05-06,misdemeanor,drug,0,0,0
5792197,10071,2017-05-09,21.95890410958904,M,Black,9588155,2014-03-31,misdemeanor,other,0,0,0
